GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OLX-Advertise,com.zensar.controller,AdminController,28,35,0,0,5,7,5,7,5,7
OLX-Advertise,com.zensar,ItsAdminApplication,5,47,0,0,2,11,1,5,1,5
OLX-Advertise,com.zensar.entity,InterviewScheduleEntity,103,0,0,0,29,0,15,0,15,0
OLX-Advertise,com.zensar.entity,CandidateEntity,148,0,0,0,41,0,21,0,21,0
OLX-Advertise,com.zensar.entity,PanelMemberEntity,73,0,0,0,21,0,11,0,11,0
OLX-Advertise,com.zensar.service,PanelServiceDelegateImpl,65,0,0,0,12,0,3,0,3,0
OLX-Advertise,com.zensar.service,UserServiceDelegateImpl,34,0,0,0,7,0,2,0,2,0
OLX-Advertise,com.zensar.service,AdminServiceImpl,542,0,44,0,117,0,46,0,24,0
OLX-Advertise,com.zensar.dto,InterviewSchedule,103,0,0,0,29,0,15,0,15,0
OLX-Advertise,com.zensar.dto,Candidate,114,34,0,0,28,13,10,11,10,11
OLX-Advertise,com.zensar.dto,PanelMember,58,15,0,0,15,6,6,5,6,5
OLX-Advertise,com.zensar.security,JwtUtil,105,0,4,0,17,0,12,0,10,0
OLX-Advertise,com.zensar.security,SecurityConfiguration,0,67,0,0,0,12,0,6,0,6
OLX-Advertise,com.zensar.actuator,CustomActuator,3,0,0,0,1,0,1,0,1,0
OLX-Advertise,com.zensar.exception,GlobalExceptionHandler,42,3,0,0,9,1,3,1,3,1
OLX-Advertise,com.zensar.exception,InvalidDataShared,24,0,0,0,7,0,3,0,3,0
OLX-Advertise,com.zensar.exception,InvalidAuthTokenException,24,0,0,0,7,0,3,0,3,0
OLX-Advertise,com.zensar.exception,InvalidIdException,24,0,0,0,7,0,3,0,3,0
